"","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","WT01","WT03"
"136","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","5/16/2015",0.03,0,0,79,62,1,NA
"137","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","5/17/2015",0,0,0,82,66,1,NA
"138","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","5/18/2015",0,0,0,77,49,NA,NA
"139","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","5/19/2015",0,0,0,53,40,NA,NA
"140","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","5/20/2015",0.04,0,0,48,39,NA,NA
"141","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","5/21/2015",0,0,0,69,45,NA,NA
"142","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","5/22/2015",0,0,0,66,47,NA,NA
"143","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","5/23/2015",0,0,0,80,46,NA,NA
"144","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","5/24/2015",0.36,0,0,72,59,1,NA
"145","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","5/25/2015",0.07,0,0,78,65,1,NA
"146","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","5/26/2015",0.5,0,0,74,64,1,NA
"147","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","5/27/2015",0,0,0,74,59,NA,NA
"148","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","5/28/2015",0,0,0,82,54,NA,NA
"149","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","5/29/2015",0.2,0,0,81,63,1,NA
"150","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","5/30/2015",0.41,0,0,71,44,1,NA
"151","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","5/31/2015",0,0,0,55,42,1,NA
"152","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","6/1/2015",0,0,0,60,44,NA,NA
"153","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","6/2/2015",0,0,0,70,42,NA,NA
"154","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","6/3/2015",0,0,0,77,50,NA,NA
