STATION,NAME,DATE,AWND,DAPR,MDPR,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/28/2015,10.96,,,,0,,0,0,41,56,31,,100,120,,,18.1,23.9,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/1/2015,7.61,,,,0.13,,0,0,42,46,36,,80,80,,,18.1,21,1,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/2/2015,5.59,,,,0.05,,0,0,51,63,45,,310,320,,,12.1,15,1,1,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/3/2015,5.82,,,,0.3,,0,0,53,54,50,,80,60,,,12.1,16.1,1,1,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/4/2015,9.84,,,,0.01,,0,0,59,78,50,,220,210,,,23,29.1,1,1,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/5/2015,16.11,,,,0.16,,0,0,57,67,29,,320,330,,,29.1,38.9,1,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/6/2015,8.28,,,,0,,0,0,35,50,27,,330,320,,,21,25.1,1,,,,,,1,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/7/2015,4.47,,,,0,,0,0,44,63,30,,280,310,,,12.1,15,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/8/2015,3.8,,,,0,,0,0,53,71,37,,330,230,,,12.1,16.1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/9/2015,6.26,,,,0,,0,0,60,66,54,,340,340,,,16.1,21,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/10/2015,7.38,,,,0,,0,0,64,79,57,,180,200,,,15,19.9,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/11/2015,5.37,,,,0.03,,0,0,67,72,58,,210,220,,,16.1,21,1,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/12/2015,12.08,,,,0.06,,0,0,63,68,58,,80,90,,,21,25.1,1,1,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/13/2015,15.66,,,,0.15,,0,0,52,58,46,,80,80,,,23.9,30,1,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/14/2015,6.49,,,,0.06,,0,0,52,70,47,,80,80,,,16.1,18.1,1,1,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/15/2015,8.5,,,,0,,0,0,64,77,56,,350,350,,,14.1,18.1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/16/2015,6.04,,,,0,,0,0,64,83,48,,320,340,,,13,17,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/17/2015,11.41,,,,0,,0,0,69,80,59,,300,300,,,21,29.1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/18/2015,6.71,,,,0,,0,0,66,73,56,,90,80,,,16.1,21,,,,,,,1,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/19/2015,10.51,,,,0.45,,0,0,59,65,48,,70,70,,,19.9,23,1,1,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/20/2015,5.59,,,,0.01,,0,0,53,69,48,,90,80,,,12.1,15,1,1,,,,,1,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/21/2015,6.71,,,,0.01,,0,0,61,72,54,,360,10,,,14.1,19.9,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/22/2015,8.5,,,,1,,0,0,57,58,54,,80,80,,,17,21,1,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/23/2015,9.17,,,,0,,0,0,59,68,53,,70,80,,,18.1,23,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/24/2015,3.8,,,,0,,0,0,60,72,48,,150,170,,,14.1,16.1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/25/2015,4.25,,,,0.01,,0,0,64,73,58,,110,110,,,12.1,14.1,1,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/26/2015,7.38,,,,0,,0,0,67,74,62,,240,270,,,16.1,21.9,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/27/2015,15.88,,,,0.03,,0,0,55,64,43,,300,320,,,23.9,32,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/28/2015,10.74,,,,0,,0,0,44,53,36,,300,330,,,21.9,25.1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/29/2015,7.38,,,,0,,0,0,44,62,31,,180,110,,,13,17,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/30/2015,9.4,,,,0.48,,0,0,58,71,50,,320,330,,,23.9,30,1,,,,,,1,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/31/2015,6.71,,,,0.04,,0,0,61,76,47,,270,250,,,23,32,1,,1,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/1/2015,5.82,,,,0.61,,0,0,65,79,56,,280,280,,,18.1,23.9,1,,1,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/2/2015,7.16,,,,0.07,,0,0,66,76,59,,280,280,,,17,21,1,,1,,,,1,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/3/2015,9.62,,,,0,,0,0,68,83,57,,250,220,,,21.9,30,1,,1,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/4/2015,13.65,,,,0.34,,0,0,65,72,52,,340,340,,,25.1,33.1,1,,1,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/5/2015,9.62,,,,0,,0,0,58,68,45,,110,110,,,19.9,25.9,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/6/2015,7.61,,,,0.61,,0,0,62,71,54,,130,130,,,14.1,18.1,1,,,,,,1,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/7/2015,4.25,,,,0,,0,0,69,81,63,,220,200,,,12.1,17,1,1,,,,,1,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/8/2015,6.26,,,,0,,0,0,74,87,63,,210,250,,,14.1,19.9,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/9/2015,10.07,,,,0,,0,0,76,85,65,,210,210,,,17,21,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/10/2015,7.16,,,,1.52,,0,0,73,77,65,,310,310,,,18.1,23.9,1,,1,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/11/2015,7.16,,,,0,,0,0,66,78,55,,340,330,,,14.1,21,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/12/2015,8.05,,,,0.02,,0,0,64,70,56,,130,120,,,16.1,21.9,1,,,,,,1,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/13/2015,7.16,,,,0.19,,0,0,66,75,64,,190,170,,,15,21,1,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/14/2015,8.5,,,,0.36,,0,0,72,81,66,,280,290,,,16.1,21,1,,1,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/15/2015,8.05,,,,0.5,,0,0,70,77,56,,30,70,,,21.9,25.1,1,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/16/2015,12.53,,,,0.28,,0,0,56,58,53,,80,90,,,21.9,23.9,1,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/17/2015,6.71,,,,0.74,,0,0,58,63,55,,90,60,,,12.1,14.1,1,1,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/18/2015,6.26,,,,0.25,,0,0,65,73,63,,60,40,,,12.1,19.9,1,,,,,,,
